mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],mean_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],window,estimators
0.648649,0.628629,0.681682,0.634635,0.526801,0.507169,0.541423,0.519093,0.408004,0.398740,0.411674,0.405770,0.487899,0.467217,0.483315,0.486102,0.208271,0.181325,0.220743,0.200351,-2.900000,-3.122222,-2.533333,-3.055556,100,20
0.653654,0.743744,0.619620,0.662663,0.533394,0.604643,0.506229,0.536366,0.411494,0.444390,0.400192,0.411660,0.496406,0.532747,0.473927,0.493033,0.218103,0.308798,0.183618,0.219647,-2.844444,-1.844444,-3.222222,-2.744444,100,30
0.638639,0.600601,0.571572,0.567568,0.535490,0.508331,0.486360,0.483215,0.436674,0.417808,0.406456,0.404951,0.394133,0.393546,0.386249,0.384782,0.167996,0.153950,0.138864,0.136513,-3.011111,-3.433333,-3.755556,-3.800000,250,20
0.649650,0.649650,0.611612,0.648649,0.561323,0.569930,0.528953,0.570881,0.453157,0.457467,0.430193,0.457678,0.418188,0.431536,0.414265,0.434507,0.194869,0.206835,0.175842,0.208978,-2.888889,-2.888889,-3.311111,-2.900000,250,30
0.549550,0.467467,0.509510,0.522523,0.460257,0.417289,0.427102,0.441142,0.385380,0.378977,0.371248,0.378638,0.464943,0.441547,0.423579,0.445031,0.141369,0.105273,0.098877,0.118798,-4.000000,-4.911111,-4.444444,-4.300000,50,20
0.486486,0.487487,0.550551,0.589590,0.425272,0.415115,0.458032,0.485673,0.378326,0.368745,0.383199,0.393020,0.441841,0.415512,0.458636,0.486285,0.108971,0.088647,0.136524,0.171008,-4.700000,-4.688889,-3.988889,-3.555556,50,30
