id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
999,0.648649,0.648649,0.628629,0.628629,0.681682,0.681682,0.634635,0.634635,0.526801,0.526801,0.507169,0.507169,0.541423,0.541423,0.519093,0.519093,0.408004,0.408004,0.398740,0.398740,0.411674,0.411674,0.405770,0.405770,0.487899,0.487899,0.467217,0.467217,0.483315,0.483315,0.486102,0.486102,0.000000,0.000000,0.000000,1.000000,0.000000,0.208271,0.208271,0.181325,0.181325,0.220743,0.220743,0.200351,0.200351,-2.900000,-2.900000,-3.122222,-3.122222,-2.533333,-2.533333,-3.055556,-3.055556,0.789853,29.891755,30.681607,0.415235,29.939471,30.354705,0.335352,30.415635,30.750987,0.127424,29.567355,29.694780,470.495117,438.961914,431.356445,454.449219,result_Number0_for_WS100_NE20.csv,100,20
999,0.653654,0.653654,0.743744,0.743744,0.619620,0.619620,0.662663,0.662663,0.533394,0.533394,0.604643,0.604643,0.506229,0.506229,0.536366,0.536366,0.411494,0.411494,0.444390,0.444390,0.400192,0.400192,0.411660,0.411660,0.496406,0.496406,0.532747,0.532747,0.473927,0.473927,0.493033,0.493033,0.000000,1.000000,0.000000,0.000000,0.000000,0.218103,0.218103,0.308798,0.308798,0.183618,0.183618,0.219647,0.219647,-2.844444,-2.844444,-1.844444,-1.844444,-3.222222,-3.222222,-2.744444,-2.744444,0.918216,42.838965,43.757181,0.530914,42.761500,43.292414,0.452024,42.485946,42.937970,0.181134,42.544140,42.725274,647.041992,610.661133,648.122070,634.648438,result_Number0_for_WS100_NE30.csv,100,30
999,0.638639,0.638639,0.600601,0.600601,0.571572,0.571572,0.567568,0.567568,0.535490,0.535490,0.508331,0.508331,0.486360,0.486360,0.483215,0.483215,0.436674,0.436674,0.417808,0.417808,0.406456,0.406456,0.404951,0.404951,0.394133,0.394133,0.393546,0.393546,0.386249,0.386249,0.384782,0.384782,0.000000,0.000000,0.000000,1.000000,0.000000,0.167996,0.167996,0.153950,0.153950,0.138864,0.138864,0.136513,0.136513,-3.011111,-3.011111,-3.433333,-3.433333,-3.755556,-3.755556,-3.800000,-3.800000,0.416366,69.967760,70.384127,0.398524,69.162091,69.560615,0.356901,69.255726,69.612627,0.176758,69.146711,69.323469,758.944336,795.407227,863.235352,852.613281,result_Number0_for_WS250_NE20.csv,250,20
999,0.649650,0.649650,0.649650,0.649650,0.611612,0.611612,0.648649,0.648649,0.561323,0.561323,0.569930,0.569930,0.528953,0.528953,0.570881,0.570881,0.453157,0.453157,0.457467,0.457467,0.430193,0.430193,0.457678,0.457678,0.418188,0.418188,0.431536,0.431536,0.414265,0.414265,0.434507,0.434507,0.000000,0.000000,1.000000,0.000000,1.000000,0.194869,0.194869,0.206835,0.206835,0.175842,0.175842,0.208978,0.208978,-2.888889,-2.888889,-2.888889,-2.888889,-3.311111,-3.311111,-2.900000,-2.900000,0.608562,107.613998,108.222561,0.545093,109.078955,109.624048,0.512318,108.684498,109.196816,0.358226,108.604724,108.962950,1117.987305,1077.579102,1163.985352,1080.164062,result_Number0_for_WS250_NE30.csv,250,30
999,0.549550,0.549550,0.467467,0.467467,0.509510,0.509510,0.522523,0.522523,0.460257,0.460257,0.417289,0.417289,0.427102,0.427102,0.441142,0.441142,0.385380,0.385380,0.378977,0.378977,0.371248,0.371248,0.378638,0.378638,0.464943,0.464943,0.441547,0.441547,0.423579,0.423579,0.445031,0.445031,0.000000,1.000000,1.000000,1.000000,1.000000,0.141369,0.141369,0.105273,0.105273,0.098877,0.098877,0.118798,0.118798,-4.000000,-4.000000,-4.911111,-4.911111,-4.444444,-4.444444,-4.300000,-4.300000,0.930674,15.024440,15.955114,0.487346,14.584924,15.072270,0.348030,14.652648,15.000678,0.297615,16.003647,16.301261,256.944336,274.364258,269.098633,259.027344,result_Number0_for_WS50_NE20.csv,50,20
999,0.486486,0.486486,0.487487,0.487487,0.550551,0.550551,0.589590,0.589590,0.425272,0.425272,0.415115,0.415115,0.458032,0.458032,0.485673,0.485673,0.378326,0.378326,0.368745,0.368745,0.383199,0.383199,0.393020,0.393020,0.441841,0.441841,0.415512,0.415512,0.458636,0.458636,0.486285,0.486285,0.000000,1.000000,1.000000,1.000000,1.000000,0.108971,0.108971,0.088647,0.088647,0.136524,0.136524,0.171008,0.171008,-4.700000,-4.700000,-4.688889,-4.688889,-3.988889,-3.988889,-3.555556,-3.555556,1.372460,21.186128,22.558588,0.510857,20.745144,21.256001,0.450376,21.006622,21.456998,0.254086,22.721809,22.975895,383.577148,380.434570,372.750977,350.093750,result_Number0_for_WS50_NE30.csv,50,30
