mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],mean_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],window,estimators
0.500501,0.547548,0.545546,0.545546,0.453258,0.473484,0.482474,0.481547,0.359784,0.377908,0.382637,0.382045,0.322987,0.338850,0.343944,0.343354,0.071378,0.119022,0.130867,0.129459,-0.269720,-0.150127,-0.155216,-0.155216,100,20
0.513514,0.558559,0.496496,0.524525,0.454399,0.488202,0.454324,0.461787,0.359753,0.389467,0.361798,0.365972,0.323993,0.348536,0.324248,0.329480,0.075247,0.144873,0.073511,0.090748,-0.236641,-0.122137,-0.279898,-0.208651,100,30
0.397397,0.418418,0.440440,0.444444,0.398768,0.420333,0.433835,0.432626,0.353712,0.372169,0.380062,0.378623,0.262802,0.277300,0.284838,0.283871,0.036508,0.069810,0.088707,0.087212,-0.527919,-0.474619,-0.418782,-0.408629,250,20
0.398398,0.409409,0.405405,0.399399,0.395604,0.405409,0.395532,0.400836,0.348810,0.356608,0.346665,0.355492,0.259887,0.266257,0.259423,0.264197,0.030067,0.044945,0.029355,0.039709,-0.525381,-0.497462,-0.507614,-0.522843,250,30
0.574575,0.530531,0.517518,0.579580,0.480099,0.440542,0.430114,0.481562,0.376044,0.341129,0.332065,0.379087,0.353278,0.325199,0.317441,0.354869,0.115819,0.031865,0.008882,0.121249,-0.084184,-0.196429,-0.229592,-0.071429,50,20
0.573574,0.551552,0.563564,0.550551,0.482562,0.470301,0.469058,0.453633,0.376412,0.363462,0.366333,0.353895,0.354355,0.344595,0.345600,0.335487,0.118392,0.088011,0.092940,0.063012,-0.083969,-0.139949,-0.109415,-0.142494,50,30
