mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],mean_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],window,estimators
0.392392,0.370370,0.300300,0.410410,0.365992,0.354441,0.284131,0.384890,0.302198,0.301196,0.240914,0.318056,0.268517,0.269254,0.210592,0.284266,-0.073754,-0.069187,-0.206511,-0.036061,-0.785294,-0.850000,-1.055882,-0.732353,100,20
0.413413,0.336336,0.311311,0.389389,0.384343,0.319160,0.300071,0.347320,0.315376,0.269570,0.258346,0.281674,0.281512,0.238293,0.232292,0.248017,-0.043087,-0.141856,-0.151354,-0.128128,-0.723529,-0.950000,-1.023529,-0.794118,100,30
0.323323,0.256256,0.292292,0.372372,0.336051,0.264451,0.301278,0.381747,0.311109,0.245317,0.277617,0.345382,0.235514,0.182642,0.207970,0.262198,-0.033076,-0.142716,-0.090563,0.022244,-0.988235,-1.185294,-1.079412,-0.844118,250,20
0.320320,0.301301,0.287287,0.354354,0.333473,0.316408,0.303367,0.365541,0.309513,0.298356,0.290706,0.333959,0.234471,0.227708,0.224898,0.253093,-0.035135,-0.048281,-0.053145,0.003110,-0.997059,-1.052941,-1.094118,-0.897059,250,30
0.478478,0.418418,0.451451,0.431431,0.416190,0.381919,0.393424,0.383681,0.323901,0.307490,0.307851,0.303574,0.306323,0.288787,0.289344,0.284448,-0.025479,-0.067117,-0.069882,-0.080633,-0.532353,-0.708824,-0.611765,-0.670588,50,20
0.440440,0.443443,0.482482,0.481481,0.380180,0.359391,0.415043,0.424775,0.297384,0.277735,0.321990,0.331833,0.278559,0.262043,0.304549,0.314484,-0.098893,-0.150026,-0.030561,-0.003802,-0.644118,-0.635294,-0.520588,-0.523529,50,30
