mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],window,estimators
0.680668,0.389039,0.478048,0.400140,0.595844,0.346403,0.407466,0.357687,0.453200,0.301657,0.332905,0.310076,0.506185,0.287608,0.330708,0.299371,100,30
0.782578,0.561156,0.584758,0.557856,0.696180,0.448101,0.451003,0.417969,0.515847,0.348576,0.347917,0.325121,0.561031,0.339995,0.336838,0.308853,500,30
