mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],mean_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],window,estimators
0.456346,0.469747,0.422742,0.469347,0.417262,0.424776,0.398219,0.424552,0.383349,0.384440,0.380808,0.384407,0.463246,0.468184,0.450867,0.468036,0.112494,0.118763,0.097709,0.118573,-4.710084,-4.569328,-5.063025,-4.573529,100,30
0.737474,0.790579,0.738774,0.725973,0.592589,0.635815,0.593565,0.584105,0.433355,0.454558,0.433785,0.429705,0.557104,0.576669,0.557583,0.552867,0.320350,0.389930,0.321868,0.307273,-1.757353,-1.199580,-1.743697,-1.878151,500,30
