param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS100_NE30updated_count.csv,100,30,,,,,,,,
,,,1,100,0,100,0,100,0,100
,,,1,200,0,200,0,200,0,200
,,,1,300,0,300,0,300,1,300
,,,1,400,0,400,0,400,1,400
,,,1,500,0,500,0,500,1,500
,,,1,600,0,600,0,600,1,600
,,,1,700,0,700,0,700,1,700
,,,1,800,0,800,0,800,1,800
,,,1,900,0,900,0,900,1,900
result_Number0_for_WS50_NE30updated_count.csv,50,30,,,,,,,,
,,,1,50,0,50,0,50,0,50
,,,1,100,0,100,0,100,1,100
,,,1,150,0,150,0,150,1,150
,,,1,200,0,200,0,200,1,200
,,,1,250,0,250,0,250,1,250
,,,1,300,0,300,0,300,1,300
,,,1,350,0,350,0,350,1,350
,,,1,400,0,400,0,400,1,400
,,,1,450,0,450,0,450,1,450
,,,1,500,0,500,0,500,1,500
,,,1,550,0,550,0,550,1,550
,,,1,600,0,600,0,600,1,600
,,,1,650,0,650,0,650,1,650
,,,1,700,0,700,0,700,1,700
,,,1,750,0,750,0,750,1,750
,,,1,800,0,800,0,800,1,800
,,,1,850,0,850,0,850,1,850
,,,1,900,0,900,0,900,1,900
,,,1,950,0,950,0,950,1,950
,param,window,estimators,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA]
0,result_Number0_for_WS100_NE30.csv,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,999,0.390390,0.390390,0.426426,0.426426,0.384384,0.384384,0.401401,0.401401,0.360931,0.360931,0.391141,0.391141,0.353639,0.353639,0.372079,0.372079,0.296591,0.296591,0.317703,0.317703,0.290284,0.290284,0.305485,0.305485,0.262760,0.262760,0.283817,0.283817,0.256403,0.256403,0.271646,0.271646,0.000000,1.000000,1.000000,1.000000,1.000000,-0.088358,-0.088358,-0.038241,-0.038241,-0.104121,-0.104121,-0.066873,-0.066873,-0.791176,-0.791176,-0.685294,-0.685294,-0.808824,-0.808824,-0.758824,-0.758824,1.116823,44.459075,45.575898,0.531088,42.782871,43.313958,0.457385,43.536307,43.993692,0.727971,44.224683,44.952654,625.721680,689.215820,674.528320,623.308594
2,result_Number0_for_WS50_NE30.csv,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,999,0.439439,0.439439,0.428428,0.428428,0.495495,0.495495,0.462462,0.462462,0.386587,0.386587,0.376363,0.376363,0.430861,0.430861,0.402760,0.402760,0.304119,0.304119,0.296615,0.296615,0.334369,0.334369,0.314443,0.314443,0.285172,0.285172,0.277235,0.277235,0.317294,0.317294,0.296331,0.296331,0.000000,1.000000,1.000000,1.000000,1.000000,-0.079846,-0.079846,-0.100379,-0.100379,0.003598,0.003598,-0.051684,-0.051684,-0.647059,-0.647059,-0.679412,-0.679412,-0.482353,-0.482353,-0.579412,-0.579412,1.348196,19.731239,21.079435,0.497947,19.504431,20.002378,0.424981,19.097164,19.522145,0.861344,19.686903,20.548247,387.194336,379.497070,392.407227,386.007812
