mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],window,estimators
0.718072,0.590059,0.596060,0.616462,0.371513,0.329860,0.331962,0.338991,0.333333,0.333333,0.333333,0.333333,0.239357,0.196686,0.198687,0.205487,100,30
0.843084,0.836084,0.791579,0.765777,0.406606,0.404767,0.392741,0.385491,0.333333,0.333333,0.333333,0.333333,0.281028,0.278695,0.263860,0.255259,500,30
