param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS50_NE5updated_count.csv,50,5,,,,,,,,
,,,1,50,0,50,0,50,0,50
,,,1,100,1,100,0,100,0,100
,,,1,150,0,150,0,150,1,150
,,,1,200,0,200,0,200,1,200
,,,1,250,0,250,0,250,1,250
,,,1,300,0,300,0,300,1,300
,,,1,350,0,350,0,350,1,350
,,,1,400,0,400,0,400,1,400
,,,1,450,0,450,0,450,1,450
,,,1,500,0,500,0,500,1,500
,,,1,550,0,550,0,550,1,550
,,,1,600,0,600,0,600,1,600
,,,1,650,0,650,0,650,1,650
,,,1,700,0,700,0,700,1,700
,,,1,750,0,750,0,750,1,750
,,,1,800,0,800,0,800,1,800
,,,1,850,0,850,0,850,1,850
,,,1,900,0,900,0,900,1,900
,,,1,950,0,950,0,950,1,950
,param,window,estimators,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA]
0,result_Number0_for_WS50_NE5.csv,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,999,0.471471,0.471471,0.456456,0.456456,0.440440,0.440440,0.477477,0.477477,0.405169,0.405169,0.381782,0.381782,0.389491,0.389491,0.414500,0.414500,0.314820,0.314820,0.295933,0.295933,0.306914,0.306914,0.322480,0.322480,0.297087,0.297087,0.278585,0.278585,0.288051,0.288051,0.304868,0.304868,0.000000,1.000000,1.000000,1.000000,0.000000,-0.050482,-0.050482,-0.102029,-0.102029,-0.071977,-0.071977,-0.029389,-0.029389,-0.552941,-0.552941,-0.597059,-0.597059,-0.644118,-0.644118,-0.535294,-0.535294,0.306622,4.782944,5.089566,0.261141,4.708493,4.969634,0.177014,4.904873,5.081887,0.198588,4.756283,4.954871,99.819336,102.129883,100.000977,86.656250
