param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS50_NE5updated_count.csv,50,5,,,,,,,,
,,,1,50,0,50,0,50,0,50
,,,1,100,0,100,0,100,0,100
,,,1,150,0,150,0,150,1,150
,,,1,200,0,200,0,200,1,200
,,,1,250,0,250,0,250,1,250
,,,1,300,0,300,0,300,1,300
,,,1,350,0,350,0,350,1,350
,,,1,400,0,400,0,400,1,400
,,,1,450,0,450,0,450,1,450
,,,1,500,0,500,0,500,1,500
,,,1,550,0,550,0,550,1,550
,,,1,600,0,600,0,600,1,600
,,,1,650,0,650,0,650,1,650
,,,1,700,0,700,0,700,1,700
,,,1,750,0,750,0,750,1,750
,,,1,800,0,800,0,800,1,800
,,,1,850,0,850,0,850,1,850
,,,1,900,0,900,0,900,1,900
,,,1,950,0,950,0,950,1,950
,param,window,estimators,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA]
0,result_Number0_for_WS50_NE5.csv,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,999,0.466466,0.466466,0.455455,0.455455,0.495495,0.495495,0.467467,0.467467,0.403666,0.403666,0.415445,0.415445,0.426361,0.426361,0.415274,0.415274,0.314408,0.314408,0.332316,0.332316,0.330153,0.330153,0.326118,0.326118,0.296456,0.296456,0.314621,0.314621,0.313023,0.313023,0.308352,0.308352,0.000000,1.000000,0.000000,0.000000,0.000000,-0.051743,-0.051743,-0.003279,-0.003279,-0.007855,-0.007855,-0.019575,-0.019575,-0.567647,-0.567647,-0.600000,-0.600000,-0.482353,-0.482353,-0.564706,-0.564706,0.342043,4.829687,5.171729,0.263892,4.702088,4.965980,0.194114,4.872451,5.066565,0.195218,4.863738,5.058956,106.627930,107.739258,102.836914,86.074219
