0,1,2,3,4,5,6,7
AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
1,6100,0,6100,0,6100,0,6100
1,6150,0,6150,0,6150,0,6150
1,6200,0,6200,0,6200,0,6200
1,6250,0,6250,0,6250,0,6250
1,6300,0,6300,0,6300,1,6300
1,6350,0,6350,0,6350,0,6350
1,6400,0,6400,0,6400,0,6400
1,6450,0,6450,0,6450,0,6450
1,6500,0,6500,0,6500,0,6500
1,6550,0,6550,0,6550,1,6550
1,6600,0,6600,0,6600,0,6600
1,6650,0,6650,0,6650,0,6650
1,6700,0,6700,0,6700,0,6700
1,6750,0,6750,0,6750,0,6750
1,6800,0,6800,0,6800,1,6800
1,6850,0,6850,0,6850,0,6850
1,6900,0,6900,0,6900,0,6900
1,6950,0,6950,0,6950,0,6950
1,7000,0,7000,0,7000,1,7000
1,7050,0,7050,0,7050,0,7050
1,7100,0,7100,0,7100,0,7100
1,7150,0,7150,0,7150,0,7150
1,7200,0,7200,0,7200,0,7200
1,7250,0,7250,0,7250,1,7250
1,7300,0,7300,0,7300,0,7300
1,7350,0,7350,0,7350,0,7350
1,7400,0,7400,0,7400,0,7400
1,7450,0,7450,0,7450,0,7450
1,7500,0,7500,0,7500,0,7500
1,7550,0,7550,0,7550,0,7550
1,7600,0,7600,0,7600,1,7600
1,7650,0,7650,0,7650,0,7650
1,7700,0,7700,0,7700,0,7700
1,7750,0,7750,0,7750,0,7750
1,7800,0,7800,0,7800,0,7800
1,7850,0,7850,0,7850,1,7850
1,7900,0,7900,0,7900,0,7900
0,7950,0,7950,0,7950,0,7950
1,8000,0,8000,0,8000,0,8000
1,8050,0,8050,0,8050,0,8050
1,8100,0,8100,0,8100,1,8100
1,8150,0,8150,0,8150,0,8150
1,8200,0,8200,0,8200,0,8200
1,8250,0,8250,0,8250,0,8250
1,8300,0,8300,0,8300,0,8300
1,8350,0,8350,0,8350,0,8350
1,8400,0,8400,0,8400,0,8400
1,8450,0,8450,0,8450,1,8450
1,8500,0,8500,0,8500,0,8500
1,8550,0,8550,0,8550,0,8550
1,8600,0,8600,0,8600,0,8600
1,8650,0,8650,0,8650,0,8650
1,8700,0,8700,0,8700,1,8700
1,8750,0,8750,0,8750,0,8750
1,8800,0,8800,0,8800,0,8800
1,8850,0,8850,0,8850,0,8850
1,8900,0,8900,0,8900,0,8900
1,8950,0,8950,0,8950,1,8950
1,9000,0,9000,0,9000,0,9000
1,9050,0,9050,0,9050,0,9050
1,9100,0,9100,0,9100,0,9100
1,9150,0,9150,0,9150,0,9150
1,9200,0,9200,0,9200,0,9200
1,9250,0,9250,0,9250,0,9250
1,9300,0,9300,0,9300,0,9300
1,9350,0,9350,0,9350,0,9350
1,9400,0,9400,0,9400,0,9400
1,9450,0,9450,0,9450,1,9450
1,9500,0,9500,0,9500,0,9500
1,9550,0,9550,0,9550,0,9550
1,9600,0,9600,0,9600,0,9600
1,9650,0,9650,0,9650,0,9650
1,9700,0,9700,0,9700,0,9700
1,9750,0,9750,0,9750,0,9750
1,9800,0,9800,0,9800,1,9800
1,9850,0,9850,0,9850,0,9850
1,9900,0,9900,0,9900,0,9900
1,9950,0,9950,0,9950,0,9950
