AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN,param,window,estimators
1,500,0,500,0,500,0,500,result_Number0_for_WS500_NE30updated_count.csv,500,30
1,1000,0,1000,0,1000,1,1000,,,
1,1500,0,1500,0,1500,0,1500,,,
1,2000,0,2000,0,2000,0,2000,,,
1,2500,0,2500,0,2500,0,2500,,,
1,3000,0,3000,0,3000,0,3000,,,
1,3500,0,3500,0,3500,0,3500,,,
1,4000,0,4000,1,4000,0,4000,,,
1,4500,0,4500,0,4500,0,4500,,,
1,5000,0,5000,0,5000,0,5000,,,
1,5500,0,5500,0,5500,0,5500,,,
1,6000,0,6000,1,6000,1,6000,,,
0,6500,0,6500,0,6500,0,6500,,,
0,7000,0,7000,0,7000,0,7000,,,
0,7500,0,7500,0,7500,0,7500,,,
1,8000,0,8000,1,8000,0,8000,,,
1,8500,0,8500,0,8500,0,8500,,,
1,9000,0,9000,0,9000,0,9000,,,
0,9500,0,9500,1,9500,0,9500,,,
1,100,0,100,0,100,0,100,result_Number0_for_WS100_NE30updated_count.csv,100,30
1,200,0,200,0,200,0,200,,,
1,300,0,300,1,300,0,300,,,
1,400,0,400,0,400,1,400,,,
1,500,0,500,0,500,0,500,,,
1,600,0,600,0,600,0,600,,,
1,700,0,700,0,700,0,700,,,
1,800,0,800,1,800,0,800,,,
1,900,0,900,0,900,0,900,,,
1,1000,0,1000,0,1000,0,1000,,,
1,1100,0,1100,0,1100,0,1100,,,
1,1200,0,1200,0,1200,1,1200,,,
1,1300,0,1300,0,1300,0,1300,,,
1,1400,0,1400,1,1400,0,1400,,,
1,1500,0,1500,0,1500,0,1500,,,
1,1600,0,1600,0,1600,0,1600,,,
1,1700,0,1700,0,1700,0,1700,,,
1,1800,0,1800,0,1800,0,1800,,,
1,1900,0,1900,0,1900,0,1900,,,
1,2000,0,2000,0,2000,0,2000,,,
1,2100,0,2100,0,2100,0,2100,,,
0,2200,0,2200,0,2200,0,2200,,,
1,2300,0,2300,0,2300,0,2300,,,
1,2400,0,2400,0,2400,0,2400,,,
1,2500,0,2500,0,2500,1,2500,,,
1,2600,0,2600,0,2600,0,2600,,,
