mean_acc_[O_IFA],mean_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],mean_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],mean_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],mean_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],window,estimators
0.719772,0.462746,0.719172,0.660166,0.372025,0.281204,0.371844,0.353467,0.333333,0.333333,0.333333,0.333333,0.239924,0.154249,0.239724,0.220055,100,30
0.843284,0.778778,0.840484,0.813281,0.406658,0.389170,0.405924,0.398679,0.333333,0.333333,0.333333,0.333333,0.281095,0.259593,0.280161,0.271094,500,30
