id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA],param,window,estimators
9999,0.719772,0.719772,0.462746,0.462746,0.719172,0.719172,0.660166,0.660166,0.372025,0.372025,0.281204,0.281204,0.371844,0.371844,0.353467,0.353467,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.239924,0.239924,0.154249,0.154249,0.239724,0.239724,0.220055,0.220055,6.228712,670.647533,676.876245,4.945744,608.435817,613.381561,4.975942,657.952218,662.928161,0.452001,649.402211,649.854212,363.932617,309.860352,251.965820,280.414062,result_Number0_for_WS100_NE30.csv,100,30
9999,0.843284,0.843284,0.778778,0.778778,0.840484,0.840484,0.813281,0.813281,0.406658,0.406658,0.389170,0.389170,0.405924,0.405924,0.398679,0.398679,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.281095,0.281095,0.259593,0.259593,0.280161,0.280161,0.271094,0.271094,6.697977,4194.021062,4200.719039,5.182880,3215.811892,3220.994772,5.738941,3870.696099,3876.435041,0.263542,3835.618430,3835.881972,937.842773,739.278320,759.981445,941.324219,result_Number0_for_WS500_NE30.csv,500,30
