param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS50_NE5updated_count.csv,50,5,,,,,,,,
,,,1,50,0,50,0,50,0,50
,,,1,100,1,100,0,100,0,100
,,,1,150,0,150,0,150,1,150
,,,1,200,0,200,0,200,1,200
,,,1,250,0,250,0,250,1,250
,,,1,300,0,300,0,300,1,300
,,,1,350,0,350,0,350,1,350
,,,1,400,0,400,0,400,1,400
,,,1,450,0,450,0,450,1,450
,,,1,500,0,500,0,500,1,500
,,,1,550,0,550,0,550,1,550
,,,1,600,0,600,0,600,1,600
,,,1,650,0,650,0,650,1,650
,,,1,700,0,700,0,700,1,700
,,,1,750,0,750,0,750,1,750
,,,1,800,0,800,0,800,1,800
,,,1,850,0,850,0,850,1,850
,,,1,900,0,900,0,900,1,900
,,,1,950,0,950,0,950,1,950
,param,window,estimators,id,mean_acc_[O_IFA],current_acc_[O_IFA],mean_acc_[SADWIN_IFA],current_acc_[SADWIN_IFA],mean_acc_[PADWIN_IFA],current_acc_[PADWIN_IFA],mean_acc_[NDKSWIN_IFA],current_acc_[NDKSWIN_IFA],mean_f1_[O_IFA],current_f1_[O_IFA],mean_f1_[SADWIN_IFA],current_f1_[SADWIN_IFA],mean_f1_[PADWIN_IFA],current_f1_[PADWIN_IFA],mean_f1_[NDKSWIN_IFA],current_f1_[NDKSWIN_IFA],mean_precision_[O_IFA],current_precision_[O_IFA],mean_precision_[SADWIN_IFA],current_precision_[SADWIN_IFA],mean_precision_[PADWIN_IFA],current_precision_[PADWIN_IFA],mean_precision_[NDKSWIN_IFA],current_precision_[NDKSWIN_IFA],mean_recall_[O_IFA],current_recall_[O_IFA],mean_recall_[SADWIN_IFA],current_recall_[SADWIN_IFA],mean_recall_[PADWIN_IFA],current_recall_[PADWIN_IFA],mean_recall_[NDKSWIN_IFA],current_recall_[NDKSWIN_IFA],true_value,predicted_value_[O_IFA],predicted_value_[SADWIN_IFA],predicted_value_[PADWIN_IFA],predicted_value_[NDKSWIN_IFA],mean_kappa_[O_IFA],current_kappa_[O_IFA],mean_kappa_[SADWIN_IFA],current_kappa_[SADWIN_IFA],mean_kappa_[PADWIN_IFA],current_kappa_[PADWIN_IFA],mean_kappa_[NDKSWIN_IFA],current_kappa_[NDKSWIN_IFA],mean_kappa_m_[O_IFA],current_kappa_m_[O_IFA],mean_kappa_m_[SADWIN_IFA],current_kappa_m_[SADWIN_IFA],mean_kappa_m_[PADWIN_IFA],current_kappa_m_[PADWIN_IFA],mean_kappa_m_[NDKSWIN_IFA],current_kappa_m_[NDKSWIN_IFA],training_time_[O_IFA],testing_time_[O_IFA],total_running_time_[O_IFA],training_time_[SADWIN_IFA],testing_time_[SADWIN_IFA],total_running_time_[SADWIN_IFA],training_time_[PADWIN_IFA],testing_time_[PADWIN_IFA],total_running_time_[PADWIN_IFA],training_time_[NDKSWIN_IFA],testing_time_[NDKSWIN_IFA],total_running_time_[NDKSWIN_IFA],model_size_[O_IFA],model_size_[SADWIN_IFA],model_size_[PADWIN_IFA],model_size_[NDKSWIN_IFA]
0,result_Number0_for_WS50_NE5.csv,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,999,0.477477,0.477477,0.400400,0.400400,0.413413,0.413413,0.477477,0.477477,0.413015,0.413015,0.352479,0.352479,0.349019,0.349019,0.410457,0.410457,0.321051,0.321051,0.279732,0.279732,0.273209,0.273209,0.318639,0.318639,0.303444,0.303444,0.259276,0.259276,0.253987,0.253987,0.301071,0.301071,0.000000,0.000000,1.000000,1.000000,0.000000,-0.033293,-0.033293,-0.145877,-0.145877,-0.165875,-0.165875,-0.039866,-0.039866,-0.535294,-0.535294,-0.761765,-0.761765,-0.723529,-0.723529,-0.535294,-0.535294,0.323281,4.637606,4.960887,0.238627,4.590963,4.829590,0.169601,4.382773,4.552374,0.195758,4.516970,4.712728,84.264648,97.629883,107.946289,95.101562
