id,mean_acc_[M_IFA],current_acc_[M_IFA],mean_f1_[M_IFA],current_f1_[M_IFA],mean_precision_[M_IFA],current_precision_[M_IFA],mean_recall_[M_IFA],current_recall_[M_IFA],true_value,predicted_value_[M_IFA],mean_kappa_[M_IFA],current_kappa_[M_IFA],mean_kappa_m_[M_IFA],current_kappa_m_[M_IFA],training_time_[M_IFA],testing_time_[M_IFA],total_running_time_[M_IFA],model_size_[M_IFA],param,window,estimators,update_estimators
299,0.244147,0.244147,0.271557,0.271557,0.292191,0.292191,0.185902,0.185902,0.000000,0.000000,-0.057099,-0.057099,-1.404255,-1.404255,0.236447,10.033879,10.270327,570.887695,result_Number0_UR0.0_for_WS100_NE30.csv,100,30,0.0
299,0.274247,0.274247,0.294865,0.294865,0.303348,0.303348,0.192856,0.192856,0.000000,0.000000,-0.045876,-0.045876,-1.308511,-1.308511,0.237241,10.301995,10.539236,651.915039,result_Number0_UR0.1_for_WS100_NE30.csv,100,30,0.1
